No,Name,X,Y,h,H,zeta
1,III-01 ,1201060.12,597671.84,5.473,4.866,0.607
2,III-02 ,1200959.05,593781.53,8.507,7.877,0.63
3,III-03 ,1204589.53,596719.49,2.122,1.501,0.621
4,III-04 ,1196868.26,594232.93,1.564,0.947,0.617
5,III-05 ,1201319.18,605534.1,10.454,9.887,0.567
6,III-06 ,1198744.19,603499.77,0.574,-0.001,0.575
7,III-07 ,1205274.12,602468.45,0.938,0.35,0.588
8,IV-01 ,1205298.75,602181.81,0.684,0.095,0.589
9,IV-03 ,1204979.05,601947.06,1.674,1.084,0.59
10,IV-04 ,1204704.77,602239.04,1.037,0.449,0.588
11,IV-05 ,1204064.76,601852.49,0.538,-0.051,0.589
12,IV-06 ,1203929.69,601930.57,0.77,0.181,0.589
13,IV-07 ,1203703.42,602064.23,0.796,0.209,0.587
14,IV-08 ,1203366.94,602147.7,1.127,0.54,0.587
15,IV-11 ,1202506,602328.28,0.455,-0.128,0.583
16,IV-12 ,1202201.24,601976.43,0.625,0.039,0.586
17,IV-13 ,1202006.24,602059.84,0.652,0.066,0.586
18,IV-14 ,1201899.84,602188.56,0.429,-0.155,0.584
19,IV-15 ,1201696.43,602137.34,0.858,0.273,0.585
20,IV-16 ,1201883.68,602467.02,0.586,0.002,0.584
21,IV-17 ,1201719.93,602457.78,0.954,0.371,0.583
22,IV-18 ,1201514.8,602625.24,0.77,0.188,0.582
23,IV-19 ,1200800.18,602483.82,0.154,-0.427,0.581
24,IV-20 ,1200620.31,602461.77,1.222,0.64,0.582
25,IV-21 ,1200302.42,602543.12,1.19,0.608,0.582
26,IV-22 ,1199997.73,602409.68,0.906,0.324,0.582
27,IV-23 ,1199526.55,602497.22,1.283,0.702,0.581
28,IV-26 ,1201211.32,597902.69,5.717,5.11,0.607
29,IV-28 ,1201303.18,599327.63,2.097,1.498,0.599
30,IV-29 ,1201286.65,599883.77,4.45,3.854,0.596
31,IV-30 ,1201321.45,600728.76,1.942,1.35,0.592
32,IV-31 ,1201296.95,601664.56,2.151,1.564,0.587
33,IV-32 ,1201166.9,603357.29,1.945,1.367,0.578
34,IV-33 ,1201345.54,604182.36,-0.185,-0.758,0.573
35,IV-34 ,1201561.98,604393.58,0.398,-0.174,0.572
36,IV-36 ,1204613.97,597354.53,1.777,1.161,0.616
37,IV-37 ,1204561.15,597728.65,3.697,3.083,0.614
38,IV-38 ,1204183.82,597923.67,5.344,4.731,0.613
39,IV-41 ,1203137.24,598074.7,10.222,9.613,0.609
40,IV-42 ,1202900.35,598100.7,9.473,8.864,0.609
41,IV-43 ,1202751.85,597925.84,8.228,7.619,0.609
42,IV-44 ,1202552.04,597624.12,8.846,8.235,0.611
43,IV-45 ,1202381.93,597525.6,8.432,7.821,0.611
44,IV-46 ,1201871.86,597825.49,6.221,5.613,0.608
45,IV-47 ,1201675.39,597197.4,7.732,7.121,0.611
46,IV-48 ,1201481.55,597126.99,7.274,6.662,0.612
47,IV-49 ,1204164.11,596307.62,4.729,4.107,0.622
48,IV-50 ,1203938.21,596157.11,5.062,4.44,0.622
49,IV-52 ,1203185.66,596295,7.545,6.925,0.62
50,IV-53 ,1202976.17,596295.65,7.578,6.958,0.62
51,IV-57 ,1201723.68,594931.38,6.067,5.442,0.625
52,IV-58 ,1201605.3,594532.89,7.826,7.2,0.626
53,IV-59 ,1201536.1,594163.59,8.019,7.391,0.628
54,IV-62 ,1200614.81,595304.12,7.758,7.138,0.62
55,IV-63 ,1200436.83,595542.31,7.207,6.589,0.618
56,IV-64 ,1200200.4,595664.07,7.305,6.688,0.617
57,IV-65 ,1199843.75,595323.36,7.033,6.415,0.618
58,IV-67 ,1199141.79,594972.5,4.553,3.935,0.618
